target, time, size
18124,4550,1000
17747,4550,1000
31717,4600,1000
21522,4600,1000
20389,4600,1000
20012,4600,1000
20012,4600,1000
20389,4600,1000
20012,4600,1000
20012,4600,1000
20389,4600,1000
20389,4600,1000
45310,4650,1000
20389,4650,1000
19635,4650,1000
19257,4650,1000
19634,4650,1000
19634,4650,1000
19256,4650,1000
19256,4650,1000
19256,4650,1000
19634,4650,1000
34360,4700,1000
28318,4700,1000
27186,4700,1000
27564,4700,1000
29829,4700,1000
28696,4700,1000
27563,4700,1000
27564,4700,1000
30206,4700,1000
35871,4700,1000
41912,4750,1000
21900,4750,1000
20012,4750,1000
20012,4750,1000
20389,4750,1000
20012,4750,1000
23410,4750,1000
20012,4750,1000
20767,4750,1000
20012,4750,1000
48708,4800,1000
21145,4800,1000
20389,4800,1000
20012,4800,1000
20390,4800,1000
20012,4800,1000
20012,4800,1000
20011,4800,1000
20767,4800,1000
20390,4800,1000
32473,4850,1000
21144,4850,1000
20389,4850,1000
20390,4850,1000
20767,4850,1000
20012,4850,1000
20389,4850,1000
20389,4850,1000
20012,4850,1000
20767,4850,1000
44932,4900,1000
21522,4900,1000
20390,4900,1000
20389,4900,1000
20767,4900,1000
20767,4900,1000
20767,4900,1000
20389,4900,1000
20767,4900,1000
20767,4900,1000
32850,4950,1000
21522,4950,1000
20767,4950,1000
20767,4950,1000
20767,4950,1000
21145,4950,1000
21145,4950,1000
21145,4950,1000
21145,4950,1000
21144,4950,1000
51729,5000,1000
23411,5000,1000
21900,5000,1000
22277,5000,1000
22278,5000,1000
22278,5000,1000
22277,5000,1000
21900,5000,1000
25298,5000,1000
22277,5000,1000
32472,5050,1000
21522,5050,1000
20012,5050,1000
20012,5050,1000
20012,5050,1000
20012,5050,1000
20012,5050,1000
20012,5050,1000
20012,5050,1000
20012,5050,1000
49840,5100,1000
22655,5100,1000
21522,5100,1000
21523,5100,1000
21522,5100,1000
21522,5100,1000
21900,5100,1000
21900,5100,1000
21522,5100,1000
21522,5100,1000
51729,5150,1000
22277,5150,1000
21900,5150,1000
21900,5150,1000
21899,5150,1000
21899,5150,1000
21522,5150,1000
21522,5150,1000
21900,5150,1000
21523,5150,1000
34359,5200,1000
21899,5200,1000
20767,5200,1000
20767,5200,1000
20767,5200,1000
20767,5200,1000
21145,5200,1000
20767,5200,1000
20767,5200,1000
21144,5200,1000
49086,5250,1000
23032,5250,1000
22278,5250,1000
23410,5250,1000
22277,5250,1000
22278,5250,1000
21900,5250,1000
22278,5250,1000
22278,5250,1000
22278,5250,1000
34738,5300,1000
22655,5300,1000
20767,5300,1000
21145,5300,1000
21145,5300,1000
21144,5300,1000
21522,5300,1000
21145,5300,1000
21522,5300,1000
21522,5300,1000
50973,5350,1000
21900,5350,1000
21522,5350,1000
21522,5350,1000
21522,5350,1000
21522,5350,1000
21145,5350,1000
21522,5350,1000
21522,5350,1000
21522,5350,1000
52862,5400,1000
23787,5400,1000
23032,5400,1000
23032,5400,1000
23032,5400,1000
23033,5400,1000
22655,5400,1000
22655,5400,1000
23032,5400,1000
27564,5400,1000
37003,5450,1000
24543,5450,1000
23033,5450,1000
23032,5450,1000
23032,5450,1000
27563,5450,1000
23410,5450,1000
23787,5450,1000
23410,5450,1000
23410,5450,1000
52106,5500,1000
23788,5500,1000
22277,5500,1000
22277,5500,1000
22278,5500,1000
22278,5500,1000
22278,5500,1000
21900,5500,1000
22277,5500,1000
22277,5500,1000
37380,5550,1000
23788,5550,1000
22655,5550,1000
22277,5550,1000
22277,5550,1000
22277,5550,1000
22277,5550,1000
22277,5550,1000
22277,5550,1000
22278,5550,1000
66832,5600,1000
26430,5600,1000
23788,5600,1000
23788,5600,1000
23788,5600,1000
23787,5600,1000
23788,5600,1000
23787,5600,1000
23787,5600,1000
23787,5600,1000
37003,5650,1000
24921,5650,1000
24165,5650,1000
24165,5650,1000
24165,5650,1000
24165,5650,1000
24165,5650,1000
23788,5650,1000
23788,5650,1000
23787,5650,1000
54749,5700,1000
35115,5700,1000
28318,5700,1000
